ins;0;7e-07
find;0;3e-07
erase;0;3e-07
ins;0;3e-07
find;0;1e-07
erase;0;1e-07
ins;0;2e-07
find;0;1e-07
erase;0;2e-07
ins;0;3e-07
find;0;1e-07
erase;0;1e-07
ins;0;2e-07
find;0;1e-07
erase;0;1e-07
ins;0;2e-07
find;0;1e-07
erase;0;1e-07
ins;0;2e-07
find;0;1e-07
erase;0;1e-07
ins;0;1e-07
find;0;2e-07
erase;0;1e-07
ins;0;3e-07
find;0;1e-07
erase;0;1e-07
ins;0;2e-07
find;0;1e-07
erase;0;1e-07
ins;0;2e-07
find;0;1e-07
erase;0;1e-07
ins;0;2e-07
find;0;2e-07
erase;0;1e-07
ins;0;2e-07
find;0;1e-07
erase;0;1e-07
ins;0;2e-07
find;0;1e-07
erase;0;1e-07
ins;0;2e-07
find;0;1e-07
erase;0;1e-07
ins;0;4e-07
find;0;2e-07
erase;0;2e-07
ins;0;2e-07
find;0;1e-07
erase;0;1e-07
ins;0;2e-07
find;0;1e-07
erase;0;1e-07
ins;0;2e-07
find;0;1e-07
erase;0;1e-07
ins;0;2e-07
find;0;1e-07
erase;0;2e-07
ins;1000;0.0019299
find;1000;0.0010297
erase;1000;0.0013855
ins;1000;0.0020012
find;1000;0.0010684
erase;1000;0.0014992
ins;1000;0.0020276
find;1000;0.0011023
erase;1000;0.0015626
ins;1000;0.0020239
find;1000;0.0011371
erase;1000;0.0016504
ins;1000;0.0019967
find;1000;0.0011313
erase;1000;0.0017016
ins;1000;0.0020042
find;1000;0.001151
erase;1000;0.001728
ins;1000;0.002035
find;1000;0.0011553
erase;1000;0.001739
ins;1000;0.0020818
find;1000;0.0011751
erase;1000;0.0018098
ins;1000;0.0019739
find;1000;0.0011679
erase;1000;0.0017837
ins;1000;0.0020323
find;1000;0.0011839
erase;1000;0.0018314
ins;1000;0.0020127
find;1000;0.0012159
erase;1000;0.0018604
ins;1000;0.0019597
find;1000;0.0011909
erase;1000;0.0018705
ins;1000;0.0020147
find;1000;0.0012147
erase;1000;0.0018972
ins;1000;0.0020585
find;1000;0.0012096
erase;1000;0.0019176
ins;1000;0.0019721
find;1000;0.0012133
erase;1000;0.0019375
ins;1000;0.0019884
find;1000;0.0012094
erase;1000;0.0019189
ins;1000;0.0019772
find;1000;0.0012279
erase;1000;0.0019271
